tip_x,tip_y,tip_z,tau_1,tau_2,tau_3,theta,s_start
0,0,0.001,0,0,0,0,0.119
-0.0405254,0.00666444,0.00107049,0.0604399,3.32317,1.35564,-1.93615,0.0472836
-0.0355326,-0.00815332,0.00515568,0.675321,3.28541,2.49839,-1.40765,0.0551669
-0.0424002,0.0214106,0.00665553,0.0742595,3.13606,1.6462,-2.32182,0.0436268
-0.039297,0.0114049,0.00720876,0.303923,2.57673,3.19584,-1.78772,0.0538859
-0.0623664,-0.0021115,0.00979196,1.57007,2.9036,0.664359,3.10674,0.0201842
-0.0218634,-0.0072678,0.0131099,0.180703,0.405516,2.43979,-0.507984,0.0775097
-0.0414772,0.0159897,0.0187028,1.38273,0.326215,1.73934,-0.605985,0.0361348
-0.0171125,-0.0047844,0.0202331,0.914954,0.0498287,3.46482,-0.0416088,0.0878503
-0.020886,0.00918952,0.0262057,3.44403,1.364,0.390064,1.00644,0.0798503
-0.033701,-0.022882,0.0287869,2.95488,3.11892,2.81269,2.11113,0.0261505
-0.00833169,-0.00713999,0.0391482,1.91598,1.40673,0.576825,-1.78412,0.065363
-0.0480021,-0.0161042,0.0403592,0.543712,1.92376,0.817369,-3.05163,0.0176691
-0.00697077,-0.0159284,0.0452728,0.851928,0.652063,0.647239,-0.421036,0.0591479
-0.0533576,-0.00598922,0.0467253,0.459044,2.2685,1.78928,-1.92563,0.0288461
-0.0284043,-0.0134607,0.0558634,0.624905,1.88631,1.03201,3.05751,0.0127734
-0.0406164,-0.00445475,0.0609862,0.839096,2.21628,1.46793,2.96663,0.0185706
-0.0368515,-0.0216339,0.0652421,1.32418,1.43002,1.81746,1.57953,0.0193103
-0.00369065,-0.0161858,0.070177,1.87707,1.33944,1.45167,2.5239,0.0343372
-0.00330837,-0.00706069,0.0712487,0.3525,1.37197,1.57969,0.701301,0.00962824
0.0152522,-0.0100532,0.0720619,0.0585696,0.224337,0.107635,0.299367,0.0429347
-0.0178605,-0.0254507,0.072091,1.9036,2.38689,2.66112,2.10936,0.0217324
-0.0150369,-0.0339615,0.0751409,0.439922,1.29786,1.35652,-0.264608,0.0259774
0,0,0.001,0,0,0,0,0.119
