tip_x,tip_y,tip_z,tau_1,tau_2,tau_3,theta,s_start
0,0,0.001,0,0,0,0,0.119
-0.0488825,0.0112692,-0.00504896,1.0712,0.459471,2.81962,-0.589326,0.0267231
-0.0405253,0.00666443,0.00107047,0.0604399,3.32317,1.35564,-1.93615,0.0472836
-0.0338062,-0.00468148,0.00652938,1.30466,2.47896,3.47912,-1.34078,0.0526543
-0.0367735,0.0129661,0.0101482,1.12277,2.36622,3.27221,-1.79936,0.0486451
-0.0256895,-0.00762933,0.0103539,1.39366,2.79684,1.30841,-1.54729,0.0489451
-0.0420431,0.0166258,0.0107417,0.29206,2.80027,2.2424,-2.03208,0.048655
-0.0233886,-0.0161801,0.0136738,1.41225,2.59498,1.60771,-1.17861,0.0468771
-0.0363905,0.0194491,0.0151465,1.03115,2.68613,2.36166,-2.11852,0.0446806
-0.0185662,-0.00661552,0.018223,1.29346,0.411092,2.68279,-0.475291,0.0751029
-0.00653153,-0.00587178,0.0400343,1.60184,0.873987,0.940049,-0.740446,0.0672092
-0.0069995,-0.0133271,0.0441084,3.03983,0.77258,1.5498,2.96335,0.0613385
-0.0275727,-0.0283424,0.0480262,1.31092,2.17242,1.56699,-1.58956,0.0300393
-0.0232619,-0.0134228,0.0605629,1.25781,1.72384,1.72726,-1.03997,0.0306787
-0.0368515,-0.0216339,0.0652421,1.32418,1.43002,1.81746,1.57953,0.0193103
-0.0386752,-0.0205115,0.0683864,0.119554,0.496994,1.35471,0.450384,0.0107075
0.000993799,-0.0140289,0.0685491,0.802337,0.474704,0.617905,0.963731,0.0413964
0.00834784,-0.00947932,0.0701616,2.64508,3.32952,3.14067,-1.33677,0.0262133
-0.0410258,-0.0291594,0.0702113,0.0574767,0.228815,0.752275,0.435286,0.0186813
-0.00749363,-0.0144297,0.0702749,2.02897,2.59264,2.34523,-1.71971,0.0270102
-0.0178605,-0.0254507,0.0720911,1.9036,2.38689,2.66112,2.10936,0.0217324
-0.0189812,-0.0324329,0.074993,0.597817,1.10962,1.42429,0.429421,0.0248413
0,0,0.001,0,0,0,0,0.119
